Name of Facebook Group,Group URL,Number of followers (nearest 1000)
Genealogy Research Around The World,"http://www.facebook.com/groups/1700259116868803
",28200.0
U.S. Midwest Genealogy Research Community,"http://www.facebook.com/groups/MidwestGenealogyResearchCommunity
",7000.0
U.S. New England Genealogy Research Community,"http://www.facebook.com/groups/965066490187186
",5900.0
Ottoman Greeks of the United States 1904-1924,"http://www.facebook.com/groups/235717853280316
",0.0
Our American GENEALOGY,"http://www.facebook.com/groups/ouramericangenealogy
",1100.0
U.S. South Genealogy Research Community,"http://www.facebook.com/groups/804695219582639
",8900.0
Southeastern Ancestry Search (SAS),"http://www.facebook.com/groups/SoutheasternAncestrySearch
",0.0
Southern States Family Research,"http://www.facebook.com/groups/917807878393897
",0.0
US Genealogy & History Gateway,"http://www.facebook.com/groups/USGenWebProject
",5100.0
U.S. West Genealogy Research Community,"http://www.facebook.com/groups/277105002497049
",2000.0
35th Alabama Infantry,"http://www.facebook.com/groups/35thalabama
",0.0
Appalachian Coal Camps,"http://www.facebook.com/groups/415557188885514
",8100.0
Black Alabama History & Genealogy,"http://www.facebook.com/groups/1588999904483875
",0.0
North Alabama Genealogy. Researchers Helping Researchers,"http://www.facebook.com/groups/1594070754185228
",0.0
Old Families of The North & West Alabama Region,"http://www.facebook.com/groups/2483596568420939
",0.0
"Georgia, Alabama and Florida Genealogy","http://www.facebook.com/groups/254718667932285
",4300.0
Alabama Ancestors,"http://www.facebook.com/groups/147439528729867
",4600.0
Alabama Fever DNA Project,"http://www.facebook.com/groups/1220784557937318
",0.0
Alabama Genealogy! Just Ask!,"http://www.facebook.com/groups/AlabamaGenealogyJustAsk
",3100.0
Alabama Genealogy Network,"http://www.facebook.com/groups/8210363481
",13000.0
"Georgia, Alabama and Florida Genealogy","http://www.facebook.com/groups/254718667932285
",4300.0
"Autauga County, Ala. History & Genealogy","http://www.facebook.com/groups/664118203730965
",0.0
Panhandle Pioneers,"http://www.facebook.com/groups/85830623830
",0.0
"Baldwin County, AL Genealogy","http://www.facebook.com/groups/104112448758
",2600.0
Wiregrass Genealogy High Bluff High Falls Oak Grove  Wesley Chapel St Paul,"http://www.facebook.com/groups/229632534079712
",1500.0
Wiregrass Genealogy High Bluff High Falls Oak Grove  Wesley Chapel St Paul,"http://www.facebook.com/groups/229632534079712
",1500.0
Descendants from Bullock County Alabama,"http://www.facebook.com/groups/295976237175985
",0.0
Descendants from Bullock County Alabama,"http://www.facebook.com/groups/295976237175985
",0.0
Wiregrass Genealogy High Bluff High Falls Oak Grove  Wesley Chapel St Paul,"http://www.facebook.com/groups/229632534079712
",1500.0
Caver's Genealogical Gazette of Alabama,"http://www.facebook.com/groups/696104997183220
",0.0
Wiregrass Genealogy High Bluff High Falls Oak Grove  Wesley Chapel St Paul,"http://www.facebook.com/groups/229632534079712
",1500.0
"Cherokee County, Alabama Genealogy","http://www.facebook.com/groups/552895048181510
",0.0
Clarke County Alabama Genealogical Network,"http://www.facebook.com/groups/581736531963898
",0.0
"Clarke County Alabama history, culture and life","http://www.facebook.com/groups/408459892565289
",1400.0
Clay County Alabama Genealogy,"http://www.facebook.com/groups/314396321916637
",0.0
Wiregrass Genealogy High Bluff High Falls Oak Grove  Wesley Chapel St Paul,"http://www.facebook.com/groups/229632534079712
",1500.0
Canebrake History,"http://www.facebook.com/groups/canebrake
",1200.0
Wiregrass Genealogy High Bluff High Falls Oak Grove  Wesley Chapel St Paul,"http://www.facebook.com/groups/229632534079712
",1500.0
"Covington County, Alabama Genealogy","http://www.facebook.com/groups/877452012322142
",0.0
Wiregrass Genealogy High Bluff High Falls Oak Grove  Wesley Chapel St Paul,"http://www.facebook.com/groups/229632534079712
",1500.0
Black Belt African American Genealogy Group,"http://www.facebook.com/groups/bbaaghs
",0.0
Black Belt African American Genealogy Group,"http://www.facebook.com/groups/bbaaghs
",0.0
Wiregrass Genealogy High Bluff High Falls Oak Grove  Wesley Chapel St Paul,"http://www.facebook.com/groups/229632534079712
",1500.0
Jackson  Dekalb County Alabama Genealogy,"http://www.facebook.com/groups/2483789148402174
",0.0
"Dekalb County, Alabama Genealogy","http://www.facebook.com/groups/111195279268
",1000.0
"Dekalb County, Alabama Historical Group","http://www.facebook.com/groups/1219121824956487
",16400.0
Panhandle Pioneers,"http://www.facebook.com/groups/85830623830
",0.0
Escambia County (Alabama) History,"http://www.facebook.com/groups/223394524364985
",2500.0
Etowah Historical Society,"http://www.facebook.com/groups/EtowahHistory
",2000.0
Wiregrass Genealogy High Bluff High Falls Oak Grove  Wesley Chapel St Paul,"http://www.facebook.com/groups/229632534079712
",1500.0
Wiregrass Genealogy High Bluff High Falls Oak Grove  Wesley Chapel St Paul,"http://www.facebook.com/groups/229632534079712
",1500.0
"Ancestors of Henry County, Alabama","http://www.facebook.com/groups/249184421858314
",0.0
Wiregrass Genealogy High Bluff High Falls Oak Grove  Wesley Chapel St Paul,"http://www.facebook.com/groups/229632534079712
",1500.0
"Jackson County, Alabama Genealogy","http://www.facebook.com/groups/400830360071223
",0.0
Birmingham African American Genealogy Group Inc,"http://www.facebook.com/groups/112773048747207
",0.0
